"","year","survey","species","scientific_name","depth","cpue_kg_km2","fishing_event_id","o2","enviro","longitude","latitude","suvey","est_non_rf","quadratic","model"
"63",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886317,NA,-2.9,449.227243079527,5763.41765853317,"SYN HS",-24.2023860980269,TRUE,3
"64",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886318,NA,-2.8,449.227243079527,5763.41765853317,"SYN HS",-23.9845062013991,TRUE,3
"65",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886319,NA,-2.7,449.227243079527,5763.41765853317,"SYN HS",-23.7681101209296,TRUE,3
"66",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886320,NA,-2.6,449.227243079527,5763.41765853317,"SYN HS",-23.5531978566185,TRUE,3
"67",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886321,NA,-2.5,449.227243079527,5763.41765853317,"SYN HS",-23.3397694084658,TRUE,3
"68",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886322,NA,-2.4,449.227243079527,5763.41765853317,"SYN HS",-23.1278247764715,TRUE,3
"69",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886323,NA,-2.3,449.227243079527,5763.41765853317,"SYN HS",-22.9173639606356,TRUE,3
"70",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886324,NA,-2.2,449.227243079527,5763.41765853317,"SYN HS",-22.7083869609581,TRUE,3
"71",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886325,NA,-2.1,449.227243079527,5763.41765853317,"SYN HS",-22.5008937774389,TRUE,3
"72",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886326,NA,-2,449.227243079527,5763.41765853317,"SYN HS",-22.2948844100782,TRUE,3
"73",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886327,NA,-1.9,449.227243079527,5763.41765853317,"SYN HS",-22.0903588588759,TRUE,3
"74",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886328,NA,-1.8,449.227243079527,5763.41765853317,"SYN HS",-21.887317123832,TRUE,3
"75",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886330,NA,-1.7,449.227243079527,5763.41765853317,"SYN HS",-21.6857592049465,TRUE,3
"76",2013,"SYN HS","spotted ratfish","raja rhina",0,38.167938931,886331,NA,-1.6,449.227243079527,5763.41765853317,"SYN HS",-21.4856851022194,TRUE,3
"77",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886332,NA,-1.5,449.227243079527,5763.41765853317,"SYN HS",-21.2870948156507,TRUE,3
"78",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886333,NA,-1.4,449.227243079527,5763.41765853317,"SYN HS",-21.0899883452403,TRUE,3
"79",2013,"SYN HS","spotted ratfish","raja rhina",0,31.347962382,886334,NA,-1.3,449.227243079527,5763.41765853317,"SYN HS",-20.8943656909884,TRUE,3
"80",2013,"SYN HS","spotted ratfish","raja rhina",0,58.282487934,886335,NA,-1.2,449.227243079527,5763.41765853317,"SYN HS",-20.7002268528949,TRUE,3
"81",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886336,NA,-1.1,449.227243079527,5763.41765853317,"SYN HS",-20.5075718309598,TRUE,3
"82",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886337,NA,-1,449.227243079527,5763.41765853317,"SYN HS",-20.316400625183,TRUE,3
"83",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886338,NA,-0.9,449.227243079527,5763.41765853317,"SYN HS",-20.1267132355647,TRUE,3
"84",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886339,NA,-0.8,449.227243079527,5763.41765853317,"SYN HS",-19.9385096621048,TRUE,3
"85",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886340,NA,-0.7,449.227243079527,5763.41765853317,"SYN HS",-19.7517899048032,TRUE,3
"86",2013,"SYN HS","spotted ratfish","raja rhina",0,48.595201968,886341,NA,-0.6,449.227243079527,5763.41765853317,"SYN HS",-19.5665539636601,TRUE,3
"87",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886473,NA,-0.5,449.227243079527,5763.41765853317,"SYN HS",-19.3828018386753,TRUE,3
"88",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886474,NA,-0.4,449.227243079527,5763.41765853317,"SYN HS",-19.200533529849,TRUE,3
"89",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886475,NA,-0.3,449.227243079527,5763.41765853317,"SYN HS",-19.019749037181,TRUE,3
"90",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886476,NA,-0.2,449.227243079527,5763.41765853317,"SYN HS",-18.8404483606715,TRUE,3
"91",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886478,NA,-0.0999999999999996,449.227243079527,5763.41765853317,"SYN HS",-18.6626315003203,TRUE,3
"92",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886479,NA,0,449.227243079527,5763.41765853317,"SYN HS",-18.4862984561276,TRUE,3
