"","species","spatial_only","depth_effect","time_varying","quadratic","covariate","lo","lo_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se","converged","b_env","b_env_se","b_env2","b_env2_se"
"37","lingcod",FALSE,FALSE,FALSE,TRUE,"temp",5.42338070517863,0.0946101025715415,11.3503284271566,0.165390987743281,5.92694772197797,0.189007004383151,2.99573227355399,0,0.88613302111538,0.00726230686912795,1,5.7217635145267,0.336486654500486,-0.341114983536746,0.0217559270682996
"38","pacific hake",FALSE,FALSE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,2.99573227355399,NA,1.04271496938935,NA,0,0.733530566812595,0.439200740076214,-0.0451120048540717,0.0290110010032755
"39","blackbelly eelpout",FALSE,FALSE,FALSE,TRUE,"temp",3.32319294428511,0.364948196473802,7.36035879265032,0.122796834547717,4.03716584836522,0.297175721571305,2.99573227355399,0,0.75458177552491,0.0361304641347176,1,7.85462517968364,1.4579029531503,-0.735207295578346,0.108237197466859
"40","sablefish",FALSE,FALSE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,2.99573227355399,NA,1.05207438189401,NA,0,0.733530566812595,0.439200740076214,-0.0451120048540717,0.0290110010032755
"41","canary rockfish",FALSE,FALSE,FALSE,TRUE,"temp",5.8552219488277,0.094559377471725,10.1580061914988,0.18492305274473,4.30278424267108,0.183185743401488,2.99573227355399,0,0.783946725779138,0.0183964044768857,1,10.3643660142456,0.802120355405092,-0.64723776639045,0.0551107026087605
"42","greenstriped rockfish",FALSE,FALSE,FALSE,TRUE,"temp",5.54226223966235,0.0334817001864996,8.03377618382805,0.0504546679168364,2.49151394416569,0.0575816554915799,2.995732273554,0,0.355632916424685,0.0297840784744015,1,26.2065229890359,1.16900461810822,-1.93035126828244,0.0892251251238288
"43","pacific ocean perch",FALSE,FALSE,FALSE,TRUE,"temp",4.66276747932922,0.043819941505241,7.42517315890972,0.0452213572496238,2.7624056795805,0.0597599437355571,2.99573227355399,0,0.475814413746358,0.0226797254096762,1,18.9819310515909,0.824542142671439,-1.57031967807184,0.0679423853651089
"44","redbanded rockfish",FALSE,FALSE,FALSE,TRUE,"temp",3.53607630285317,0.142571404315612,7.95772295448892,0.0899650187443398,4.42164665163575,0.17697875461502,2.99573227355399,0,0.795406456680641,0.0163779303737622,1,7.0446355462888,0.612687095946354,-0.612907480682576,0.0490638945946997
"45","redstripe rockfish",FALSE,FALSE,FALSE,TRUE,"temp",5.97182593321617,0.0711173334951214,9.18899731096357,0.11174795958178,3.2171713777474,0.102754907310931,2.995732273554,0,0.613533727097387,0.0246870939643347,1,17.5524353239634,1.04991420623475,-1.15774948637448,0.0739559241292172
"46","rosethorn rockfish",FALSE,FALSE,FALSE,TRUE,"temp",5.18100258559256,0.0635323555954583,8.60417814454912,0.174726913861586,3.42317555895656,0.159391715983726,2.99573227355399,0,0.658648633336125,0.0317883667658167,1,14.0966886737368,1.15012706533282,-1.02259730573673,0.0952294362439276
